Model_A,Model_B,W,p_value,z,r_effect,p_adj
SVM (All),Integrated-RFECV (L1-LR) + Naive Bayes,50.0,1.4166232304304915e-08,5.6713672829956865,0.802052452881155,9.16555230088528e-06
K-Neighbors (All),Decision Tree (All),5.0,1.7763568394002505e-14,-7.665860858431098,-1.0841164393258316,1.5294432387236157e-11
K-Neighbors (All),Naive Bayes (All),333.0,0.002799360749817126,-2.9889520331799386,-0.4227016502605706,1.0
K-Neighbors (All),Random Forest (MW - inCV),0.0,1.7763568394002505e-15,-7.956038125481531,-1.1251537019813398,1.8385293287792592e-12
K-Neighbors (All),Random Forest (Wilcoxon - inCV),0.0,1.7763568394002505e-15,-7.956038125481531,-1.1251537019813398,1.8385293287792592e-12
K-Neighbors (All),Random Forest (Kruskal - inCV),0.0,1.7763568394002505e-15,-7.956038125481531,-1.1251537019813398,1.8385293287792592e-12
K-Neighbors (All),Random Forest (Chi-square - inCV),0.0,1.7763568394002505e-15,-7.956038125481531,-1.1251537019813398,1.8385293287792592e-12
K-Neighbors (All),Random Forest (KS - inCV),0.0,1.7763568394002505e-15,-7.956038125481531,-1.1251537019813398,1.8385293287792592e-12
K-Neighbors (All),Logistic Regression (MW - inCV),1.0,3.552713678800501e-15,-7.869777910570139,-1.1129546653992488,3.318234575999668e-12
K-Neighbors (All),Logistic Regression (Wilcoxon - inCV),1.0,3.552713678800501e-15,-7.869777910570139,-1.1129546653992488,3.318234575999668e-12
K-Neighbors (All),Logistic Regression (Kruskal - inCV),0.0,1.7763568394002505e-15,-7.956038125481531,-1.1251537019813398,1.8385293287792592e-12
K-Neighbors (All),Logistic Regression (Chi-square - inCV),0.0,1.7763568394002505e-15,-7.956038125481531,-1.1251537019813398,1.8385293287792592e-12
K-Neighbors (All),Logistic Regression (KS - inCV),1.0,3.552713678800501e-15,-7.869777910570139,-1.1129546653992488,3.318234575999668e-12
K-Neighbors (All),SVM (MW - inCV),6.0,1.0870035830988515e-09,-6.096080987294263,-0.8621160409556313,7.815555762480742e-07
K-Neighbors (All),SVM (Wilcoxon - inCV),2.0,8.532308998540056e-10,-6.134694326881243,-0.8675767918088738,6.245650186931321e-07
K-Neighbors (All),SVM (Kruskal - inCV),1.0,3.552713678800501e-15,-7.869777910570139,-1.1129546653992488,3.318234575999668e-12
K-Neighbors (All),SVM (Chi-square - inCV),3.0,8.881784197001252e-15,-7.754320376295517,-1.0966265043143162,7.815970093361102e-12
K-Neighbors (All),SVM (KS - inCV),10.0,7.638334409421077e-14,-7.476404948078904,-1.05732332753665,6.355094228638336e-11
K-Neighbors (All),K-Neighbors (MW - inCV),0.0,1.7763568394002505e-15,-7.956038125481531,-1.1251537019813398,1.8385293287792592e-12
K-Neighbors (All),K-Neighbors (Wilcoxon - inCV),0.0,1.7763568394002505e-15,-7.956038125481531,-1.1251537019813398,1.8385293287792592e-12
K-Neighbors (All),K-Neighbors (Kruskal - inCV),2.0,5.329070518200751e-15,-7.818891055763057,-1.1057581773777803,4.785505325344275e-12
K-Neighbors (All),K-Neighbors (Chi-square - inCV),0.0,7.555220876380673e-10,-6.154000996674732,-0.870307167235495,5.733116096700186e-07
K-Neighbors (All),K-Neighbors (KS - inCV),5.0,1.023291039922917e-09,-6.105734322191008,-0.8634812286689421,7.398394218642691e-07
K-Neighbors (All),Decision Tree (MW - inCV),0.0,1.7763568394002505e-15,-7.956038125481531,-1.1251537019813398,1.8385293287792592e-12
K-Neighbors (All),Decision Tree (Wilcoxon - inCV),0.0,1.7763568394002505e-15,-7.956038125481531,-1.1251537019813398,1.8385293287792592e-12
